dataset,components,ecfp_var,topological_var,maccs_var,estate_var,rdkit2D_var,phar2D_var
bace,64,0.7483496142089021,0.8120838670123157,0.9664821857187665,0.9999999999999996,0.9999816245137885,0.7851049092682318
bbbp,64,0.5212222004761082,0.6422916995836101,0.9312004130821324,1.0,0.9999698869754693,0.6172434748620232
clintox,64,0.4857723975718701,0.610826662560896,0.924192148687353,0.9999999999999999,0.999972659225092,0.5928737473561021
tox21,64,0.4539170593222123,0.5411294515313427,0.9228754048402008,0.9999999999999996,0.9999889470010854,0.5326579154398822
sider,64,0.5042681408129313,0.6223687390119513,0.9186967903829985,0.9999999999999999,0.9999969936103806,0.6307771881000969
esol,64,0.605062769779271,0.6904935270289273,0.957092185187983,1.0,0.999968247883462,0.7285346301787095
freesolv,64,0.6877025770824219,0.7526707512544915,0.97333102836349,1.0,0.9999913630121061,0.8740430454537934
lipophilicity,64,0.5078021690093352,0.6243793223492081,0.9367913255551927,0.9999999999999997,0.9999682719173433,0.5463216900434209
